"province_name","district","year","week","weekly_dengue_cases","weekly_diarrhea_cases","population","rainsum","meantemperature","max_temperature","min_temperature","rainsum_std"
"15 Xekong",15,2020,2,2,152,129401,0,26.0857142857143,34.5714285714286,17.5142857142857,-0.54871065537988
"15 Xekong",15,2020,3,6,112,129401,0,25.0857142857143,34.4,15.7,-0.54871065537988
"15 Xekong",15,2020,4,19,134,129401,1,25.7714285714286,33.8142857142857,17.6571428571429,-0.53259515734268
"15 Xekong",15,2020,5,6,142,129401,0.3,24.0857142857143,31.7285714285714,16.3857142857143,-0.54387600596872
"15 Xekong",15,2020,6,4,128,129401,0,25,34.5,15.4428571428571,-0.54871065537988
"15 Xekong",15,2020,7,2,122,129401,0,27.7285714285714,35.0428571428571,20.3714285714286,-0.54871065537988
"15 Xekong",15,2020,8,8,124,129401,0,24.4,33.2,15.5571428571429,-0.54871065537988
"15 Xekong",15,2020,9,4,146,129401,0,26.7,36.1571428571429,17.2285714285714,-0.54871065537988
"15 Xekong",15,2020,10,4,194,129401,9.5,28.9,36.3285714285714,21.4142857142857,-0.395613424026478
"15 Xekong",15,2020,11,2,238,129401,6.7,30.7142857142857,38.2142857142857,23.1714285714286,-0.440736818530639
"15 Xekong",15,2020,12,5,98,129401,0.8,30.5,36.7571428571429,24.1857142857143,-0.53581825695012
"15 Xekong",15,2020,13,4,108,129401,2.2,31.6571428571429,38.3428571428571,24.9571428571429,-0.51325655969804
"15 Xekong",15,2020,14,2,194,129401,4.9,31.5142857142857,38,24.9571428571429,-0.469744714997599
"15 Xekong",15,2020,15,2,134,129401,2.8,29.8428571428571,35.6714285714286,23.9428571428571,-0.50358726087572
"15 Xekong",15,2020,16,0,122,129401,9.1,30.4571428571429,37.0714285714286,23.7857142857143,-0.402059623241358
"15 Xekong",15,2020,17,2,152,129401,10.4,30.8571428571429,37.1714285714286,24.5,-0.381109475792998
"15 Xekong",15,2020,18,8,122,129401,12.2,32.3,38.8285714285714,25.7285714285714,-0.352101579326037
"15 Xekong",15,2020,19,2,97,129401,44.9,33.2571428571429,39.8285714285714,26.6142857142857,0.17487520649041
"15 Xekong",15,2020,20,2,104,129401,15,31.6857142857143,37.4428571428571,25.8571428571429,-0.306978184821877
"15 Xekong",15,2020,21,6,128,129401,50.9,29.8142857142857,34.6,24.9857142857143,0.271568194713612
"15 Xekong",15,2020,22,0,129,129401,96.1,28.4285714285714,32.4857142857143,24.3142857142857,0.999988705995063
"15 Xekong",15,2020,23,0,134,129401,4.9,29.6571428571429,34.9285714285714,24.3428571428571,-0.469744714997599
"15 Xekong",15,2020,24,2,100,129401,51.7,29.5714285714286,35.1571428571429,23.9,0.284460593143372
"15 Xekong",15,2020,25,1,102,129401,7.8,28.8571428571429,33.5285714285714,24.1428571428571,-0.423009770689718
"15 Xekong",15,2020,26,2,114,129401,99.8,29.4714285714286,34.5142857142857,24.3571428571429,1.0596160487327
"15 Xekong",15,2020,27,4,114,129401,62.9,27.2571428571429,30.5714285714286,23.9285714285714,0.464954171160015
"15 Xekong",15,2020,28,6,110,129401,20.8,29.9285714285714,35.4428571428571,24.3571428571429,-0.213508296206115
"15 Xekong",15,2020,29,2,160,129401,39.2,29.5428571428571,34.7714285714286,24.2714285714286,0.0830168676783691
"15 Xekong",15,2020,30,2,112,129401,20.5,29.3428571428571,34.5142857142857,24.1285714285714,-0.218342945617275
"15 Xekong",15,2020,31,5,84,129401,172.3,27.2714285714286,30.6,23.9142857142857,2.22798965642972
"15 Xekong",15,2020,32,8,114,129401,39.6,28.3,32.1714285714286,24.3714285714286,0.0894630668932491
"15 Xekong",15,2020,33,6,85,129401,89.3,26.9714285714286,30.0285714285714,23.8428571428571,0.890403319342101
"15 Xekong",15,2020,34,4,86,129401,64.7,27.7571428571429,31.9142857142857,23.5857142857143,0.493962067626975
"15 Xekong",15,2020,35,2,55,129401,78.1,28.0571428571429,32.1,23.9714285714286,0.709909741325458
"15 Xekong",15,2020,36,3,87,129401,76.1,29.1,34.1285714285714,24.0142857142857,0.677678745251058
"15 Xekong",15,2020,37,2,46,129401,20.6,28.9428571428571,34.0142857142857,23.8142857142857,-0.216731395813555
"15 Xekong",15,2020,38,2,47,129401,211.2,27.1428571428571,30.6571428571429,23.5714285714286,2.85488253007681
"15 Xekong",15,2020,39,1,35,129401,42.7,28.6,33.3142857142857,23.8285714285714,0.13942111080857
"15 Xekong",15,2020,40,3,71,129401,41,28.8,33.4142857142857,24.1285714285714,0.112024764145329
"15 Xekong",15,2020,41,0,43,129401,72,25.4714285714286,27.6571428571429,23.2428571428571,0.611605203298537
"15 Xekong",15,2020,42,0,20,129401,107.6,26.0571428571429,28.9571428571429,23.1142857142857,1.18531693342287
"15 Xekong",15,2020,43,2,24,129401,4.5,25.3714285714286,29.6571428571429,21.0571428571429,-0.476190914212479
"15 Xekong",15,2020,44,1,30,129401,42.1,26.1,30.1857142857143,21.9857142857143,0.12975181198625
"15 Xekong",15,2020,45,0,47,129401,7.8,25.2571428571429,29.5428571428571,20.9571428571429,-0.423009770689718
"15 Xekong",15,2020,46,2,20,129401,3.4,24.7285714285714,30.0571428571429,19.3857142857143,-0.493917962053399
"15 Xekong",15,2020,47,0,12,129401,0,27.8857142857143,34.5714285714286,21.1285714285714,-0.54871065537988
"15 Xekong",15,2020,48,0,23,129401,0.4,25.7142857142857,31.4714285714286,19.9,-0.542264456165
"15 Xekong",15,2020,49,0,62,129401,0,24.1571428571429,30.9571428571429,17.2857142857143,-0.54871065537988
"15 Xekong",15,2020,50,1,21,129401,3.2,25.5857142857143,32.7857142857143,18.3428571428571,-0.49714106166084
"15 Xekong",15,2020,51,4,21,129401,0,24.3714285714286,31.1,17.5714285714286,-0.54871065537988
"15 Xekong",15,2020,52,0,79,129401,0,24.2285714285714,32.1714285714286,16.2571428571429,-0.54871065537988
"15 Xekong",15,2020,53,1,58,129401,0,24.4,31.8333333333333,16.9333333333333,-0.54871065537988
"15 Xekong",15,2021,1,0,30,131836,0,22.95,31.6666666666667,14.2166666666667,-0.54871065537988
"15 Xekong",15,2021,2,0,25,131836,0,21.7142857142857,29.4428571428571,13.9,-0.54871065537988
"15 Xekong",15,2021,3,0,32,131836,0,20.4285714285714,28.2285714285714,12.6,-0.54871065537988
"15 Xekong",15,2021,4,0,32,131836,0,24.1714285714286,33.5285714285714,14.7571428571429,-0.54871065537988
"15 Xekong",15,2021,5,0,18,131836,0,23.8571428571429,32.5857142857143,15.0714285714286,-0.54871065537988
"15 Xekong",15,2021,6,0,3,131836,3.4,24.0428571428571,32.3,15.7571428571429,-0.493917962053399
"15 Xekong",15,2021,7,0,9,131836,0,25.1428571428571,33.7,16.5571428571429,-0.54871065537988
"15 Xekong",15,2021,8,0,21,131836,0,24.7714285714286,33.5285714285714,15.9571428571429,-0.54871065537988
"15 Xekong",15,2021,9,0,15,131836,0,27.4142857142857,35.2857142857143,19.5142857142857,-0.54871065537988
"15 Xekong",15,2021,10,0,19,131836,46.9,27.3714285714286,34.5285714285714,20.1428571428571,0.207106202564811
"15 Xekong",15,2021,11,1,55,131836,0,28.2,35.8428571428571,20.5285714285714,-0.54871065537988
"15 Xekong",15,2021,12,0,37,131836,6.2,29.1714285714286,36.0142857142857,22.2857142857143,-0.448794567549239
"15 Xekong",15,2021,13,0,57,131836,0,29.8857142857143,36.7857142857143,22.9142857142857,-0.54871065537988
"15 Xekong",15,2021,14,1,56,131836,0,30.2857142857143,36.9714285714286,23.5428571428571,-0.54871065537988
"15 Xekong",15,2021,15,0,22,131836,4.3,30.5142857142857,37.2571428571429,23.7571428571429,-0.479414013819919
"15 Xekong",15,2021,16,0,27,131836,70.6,28.8571428571429,34.7857142857143,22.8571428571429,0.589043506046457
"15 Xekong",15,2021,17,0,26,131836,51.5,29.3714285714286,34.5,24.2,0.281237493535932
"15 Xekong",15,2021,18,0,32,131836,8.3,30.1571428571429,35.8571428571429,24.4,-0.414952021671118
"15 Xekong",15,2021,19,0,18,131836,0,30.9857142857143,37.0714285714286,24.8714285714286,-0.54871065537988
"15 Xekong",15,2021,20,0,35,131836,8.3,30.9142857142857,36.8571428571429,24.9428571428571,-0.414952021671118
"15 Xekong",15,2021,21,0,8,131836,97.2,30.3,35.3857142857143,25.1571428571429,1.01771575383598
"15 Xekong",15,2021,22,1,47,131836,9.7,30.1428571428571,35.3285714285714,24.9285714285714,-0.392390324419038
"15 Xekong",15,2021,23,0,86,131836,40.4,28.0285714285714,32.0857142857143,23.9142857142857,0.102355465323009
"15 Xekong",15,2021,24,1,66,131836,103.9,27,30.1285714285714,23.8285714285714,1.12568959068522
"15 Xekong",15,2021,25,2,69,131836,3.8,28.8857142857143,33.1285714285714,24.6142857142857,-0.487471762838519
"15 Xekong",15,2021,26,1,89,131836,4.4,29.2714285714286,34.2,24.3142857142857,-0.477802464016199
"15 Xekong",15,2021,27,1,71,131836,21.6,28.8571428571429,34.0428571428571,23.6142857142857,-0.200615897776355
"15 Xekong",15,2021,28,0,51,131836,14.3,29.0857142857143,34.1,24.0285714285714,-0.318259033447917
"15 Xekong",15,2021,29,0,59,131836,73.7,28.0857142857143,32.1428571428571,23.9857142857143,0.639001549961777
"15 Xekong",15,2021,30,1,56,131836,60.6,27.2,29.5857142857143,24.7714285714286,0.427888525674454
"15 Xekong",15,2021,31,0,66,131836,15.9,28.2428571428571,32.1714285714286,24.2571428571429,-0.292474236588397
"15 Xekong",15,2021,32,0,57,131836,18.4,28.5428571428571,32.0857142857143,24.9142857142857,-0.252185491495396
"15 Xekong",15,2021,33,0,31,131836,105.3,27.9571428571429,31.7857142857143,24.0714285714286,1.1482512879373
"15 Xekong",15,2021,34,4,37,131836,16.1,28.3428571428571,33.2142857142857,23.4285714285714,-0.289251136980956
"15 Xekong",15,2021,35,5,42,131836,47.1,28.3142857142857,32.9428571428571,23.6285714285714,0.210329302172251
"15 Xekong",15,2021,36,5,51,131836,34.8,27.5,31.3285714285714,23.6,0.012108676314688
